source,product_key,observed_id,product_name,audience,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url,evidence_source,breadcrumb_evidence_json,unresolved_reason
uniqlo,E448039,E448039-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (CUSTOM ORDER),아우터,57966,감탄 재킷,58036,감탄 재킷 (CUSTOM ORDER),116908,,,https://www.uniqlo.com/kr/ko/products/E448039-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""116908"",""name"":""uniqlo custom order"",""locale"":""감탄 재킷 (CUSTOM ORDER)"",""level"":4,""raw_order"":3}]",
uniqlo,E448040,E448040-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (CUSTOM ORDER),아우터,57966,감탄 재킷,58036,감탄 재킷 (CUSTOM ORDER),116908,,,https://www.uniqlo.com/kr/ko/products/E448040-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""116908"",""name"":""uniqlo custom order"",""locale"":""감탄 재킷 (CUSTOM ORDER)"",""level"":4,""raw_order"":3}]",
uniqlo,E448041,E448041-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (CUSTOM ORDER),아우터,57966,감탄 재킷,58036,감탄 재킷 (CUSTOM ORDER),116908,,,https://www.uniqlo.com/kr/ko/products/E448041-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""116908"",""name"":""uniqlo custom order"",""locale"":""감탄 재킷 (CUSTOM ORDER)"",""level"":4,""raw_order"":3}]",
uniqlo,E448042,E448042-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (CUSTOM ORDER),아우터,57966,감탄 재킷,58036,감탄 재킷 (CUSTOM ORDER),116908,,,https://www.uniqlo.com/kr/ko/products/E448042-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""116908"",""name"":""uniqlo custom order"",""locale"":""감탄 재킷 (CUSTOM ORDER)"",""level"":4,""raw_order"":3}]",
uniqlo,E448043,E448043-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (CUSTOM ORDER),아우터,57966,감탄 재킷,58036,감탄 재킷 (CUSTOM ORDER),116908,,,https://www.uniqlo.com/kr/ko/products/E448043-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""116908"",""name"":""uniqlo custom order"",""locale"":""감탄 재킷 (CUSTOM ORDER)"",""level"":4,""raw_order"":3}]",
uniqlo,E448044,E448044-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (CUSTOM ORDER),아우터,57966,감탄 재킷,58036,감탄 재킷 (CUSTOM ORDER),116908,,,https://www.uniqlo.com/kr/ko/products/E448044-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""116908"",""name"":""uniqlo custom order"",""locale"":""감탄 재킷 (CUSTOM ORDER)"",""level"":4,""raw_order"":3}]",
uniqlo,E448045,E448045-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (CUSTOM ORDER),아우터,57966,감탄 재킷,58036,감탄 재킷 (CUSTOM ORDER),116908,,,https://www.uniqlo.com/kr/ko/products/E448045-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""116908"",""name"":""uniqlo custom order"",""locale"":""감탄 재킷 (CUSTOM ORDER)"",""level"":4,""raw_order"":3}]",
uniqlo,E450179,E450179-000,,MEN,티셔츠 & 스웨트셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 긴팔,티셔츠 & 스웨트셔츠 & UT,57967,티셔츠 (반팔 & 긴팔),58039,긴팔,58394,,,https://www.uniqlo.com/kr/ko/products/E450179-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57967"",""name"":""tops"",""locale"":""티셔츠 & 스웨트셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58039"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58394"",""name"":""long sleeve"",""locale"":""긴팔"",""level"":4,""raw_order"":3}]",
uniqlo,E450195,E450195-000,,MEN,아우터 > 파카 & 블루종 > 후리스,아우터,57966,파카 & 블루종,58035,후리스,98333,,,https://www.uniqlo.com/kr/ko/products/E450195-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58035"",""name"":""parkas and blousons"",""locale"":""파카 & 블루종"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""98333"",""name"":""fleece"",""locale"":""후리스"",""level"":4,""raw_order"":3}]",
uniqlo,E455365,E455365-000,,MEN,티셔츠 & 스웨트셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,티셔츠 & 스웨트셔츠 & UT,57967,티셔츠 (반팔 & 긴팔),58039,반팔,58395,,,https://www.uniqlo.com/kr/ko/products/E455365-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57967"",""name"":""tops"",""locale"":""티셔츠 & 스웨트셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58039"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58395"",""name"":""short sleeve"",""locale"":""반팔"",""level"":4,""raw_order"":3}]",
uniqlo,E457111,E457111-000,,MEN,티셔츠 & 스웨트셔츠 & UT > PEACE FOR ALL > 그래픽 티셔츠,티셔츠 & 스웨트셔츠 & UT,57967,PEACE FOR ALL,58950,그래픽 티셔츠,58951,,,https://www.uniqlo.com/kr/ko/products/E457111-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57967"",""name"":""tops"",""locale"":""티셔츠 & 스웨트셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58950"",""name"":""peace for all"",""locale"":""PEACE FOR ALL"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58951"",""name"":""graphic tees"",""locale"":""그래픽 티셔츠"",""level"":4,""raw_order"":3}]",
uniqlo,E457119,E457119-000,,MEN,티셔츠 & 스웨트셔츠 & UT > PEACE FOR ALL > 그래픽 티셔츠,티셔츠 & 스웨트셔츠 & UT,57967,PEACE FOR ALL,58950,그래픽 티셔츠,58951,,,https://www.uniqlo.com/kr/ko/products/E457119-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57967"",""name"":""tops"",""locale"":""티셔츠 & 스웨트셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58950"",""name"":""peace for all"",""locale"":""PEACE FOR ALL"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58951"",""name"":""graphic tees"",""locale"":""그래픽 티셔츠"",""level"":4,""raw_order"":3}]",
uniqlo,E457120,E457120-000,,MEN,티셔츠 & 스웨트셔츠 & UT > PEACE FOR ALL > 그래픽 티셔츠,티셔츠 & 스웨트셔츠 & UT,57967,PEACE FOR ALL,58950,그래픽 티셔츠,58951,,,https://www.uniqlo.com/kr/ko/products/E457120-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57967"",""name"":""tops"",""locale"":""티셔츠 & 스웨트셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58950"",""name"":""peace for all"",""locale"":""PEACE FOR ALL"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58951"",""name"":""graphic tees"",""locale"":""그래픽 티셔츠"",""level"":4,""raw_order"":3}]",
